"src_schema","src_table","src_column","tgt_schema","tgt_table","tgt_pk","total_distinct_sampled","matched_on_parent","coverage","rel_exemplo"
"public","lacaaux","laaccusto","public","ccusto","ccusto","45","44","0.9778","lacaaux[laaccusto] -> ccusto[ccusto]"
"public","titulos","titbanco","public","banco","banco","87","85","0.9770","titulos[titbanco] -> banco[banco]"
"public","pasfase","ordem","public","ordem","ordem","10000","9750","0.9750","pasfase[ordem] -> ordem[ordem]"
"public","produto","batismo","public","batismo","batismo","36","35","0.9722","produto[batismo] -> batismo[batismo]"
"public","etimanua","etmpedido","public","pedido","pedido","7059","6835","0.9683","etimanua[etmpedido] -> pedido[pedido]"
"public","lacaaux","laaplanoc","public","planoc","planoc","30","29","0.9667","lacaaux[laaplanoc] -> planoc[planoc]"
"public","chpredat","chmotivo","public","motivo","motivo","23","22","0.9565","chpredat[chmotivo] -> motivo[motivo]"
"public","confexce","cfegrupo","public","grupo","grupo","45","43","0.9556","confexce[cfegrupo] -> grupo[grupo]"
"public","elemen","planoc","public","planoc","planoc","22","21","0.9545","elemen[planoc] -> planoc[planoc]"
"public","umhisvnd","umhipedido","public","pedido","pedido","42","40","0.9524","umhisvnd[umhipedido] -> pedido[pedido]"
"public","elemen","ccusto","public","ccusto","ccusto","20","19","0.9500","elemen[ccusto] -> ccusto[ccusto]"
"public","lcnota","lcnestado","public","estado","estado","20","19","0.9500","lcnota[lcnestado] -> estado[estado]"
"public","titctbde","tctbccusto","public","ccusto","ccusto","20","19","0.9500","titctbde[tctbccusto] -> ccusto[ccusto]"
"public","intmatr","intgrupo","public","grupo","grupo","17","16","0.9412","intmatr[intgrupo] -> grupo[grupo]"
"public","cmempres","modcobra","public","modcobra","modcobra","16","15","0.9375","cmempres[modcobra] -> modcobra[modcobra]"
"public","configm1","cmtipacab","public","tipacab","tpacodi","47","44","0.9362","configm1[cmtipacab] -> tipacab[tpacodi]"
"public","elecon1","elemen","public","elemen","elemen","4692","4380","0.9335","elecon1[elemen] -> elemen[elemen]"
"public","possalim","psiplanoc","public","planoc","planoc","29","27","0.9310","possalim[psiplanoc] -> planoc[planoc]"
"public","lajuracr","lajjccusto","public","ccusto","ccusto","14","13","0.9286","lajuracr[lajjccusto] -> ccusto[ccusto]"
"public","planece","plnunimed","public","unimed","unimedida","28","26","0.9286","planece[plnunimed] -> unimed[unimedida]"
"public","lajuracr","lajdccusto","public","ccusto","ccusto","13","12","0.9231","lajuracr[lajdccusto] -> ccusto[ccusto]"
"public","toqmovi","priordem","public","ordem","ordem","10000","9228","0.9228","toqmovi[priordem] -> ordem[ordem]"
"public","chpredat","banco","public","banco","banco","12","11","0.9167","chpredat[banco] -> banco[banco]"
"public","suimpos","suiobserva","public","observa","observa","12","11","0.9167","suimpos[suiobserva] -> observa[observa]"
"public","umnfcomp","umncpedido","public","pedido","pedido","12","11","0.9167","umnfcomp[umncpedido] -> pedido[pedido]"
"public","toqmovi","prienqipi","public","enqipi","enqcodigo","11","10","0.9091","toqmovi[prienqipi] -> enqipi[enqcodigo]"
"public","projped1","prjpedido","public","pedido","pedido","10000","9057","0.9057","projped1[prjpedido] -> pedido[pedido]"
"public","suimpos","suienqipi","public","enqipi","enqcodigo","10","9","0.9000","suimpos[suienqipi] -> enqipi[enqcodigo]"
